,ID,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,TARGET,CODE_GENDER_M
0,5008804,0,427500.0,-4542,1,1,0,0,1,1
1,5008805,0,427500.0,-4542,1,1,0,0,1,1
2,5008806,0,112500.0,-1134,1,0,0,0,1,1
3,5008808,0,270000.0,-3051,1,0,1,1,0,0
5,5008810,0,270000.0,-3051,1,0,1,1,1,0
6,5008811,0,270000.0,-3051,1,0,1,1,1,0
8,5008813,0,283500.0,365243,1,0,0,0,0,0
10,5008815,0,270000.0,-769,1,1,1,1,0,1
11,5112956,0,270000.0,-769,1,1,1,1,1,1
15,5008821,0,135000.0,-1194,1,0,0,0,1,1
18,5008824,0,135000.0,-1194,1,0,0,0,0,1
19,5008825,0,130500.0,-1103,1,0,0,0,0,0
21,5008830,0,157500.0,-1469,1,0,1,0,1,0
22,5008831,0,157500.0,-1469,1,0,1,0,1,0
23,5008832,0,157500.0,-1469,1,0,1,0,1,0
24,5008834,1,112500.0,-1620,1,0,0,0,1,0
30,5008839,1,405000.0,-2016,1,0,0,0,1,1
31,5008840,1,405000.0,-2016,1,0,0,0,1,1
32,5008841,1,405000.0,-2016,1,0,0,0,0,1
33,5008842,1,405000.0,-2016,1,0,0,0,0,1
34,5008843,1,405000.0,-2016,1,0,0,0,1,1
36,5008846,0,112500.0,-4450,1,0,1,0,0,1
39,5008850,0,112500.0,-4450,1,0,1,0,0,1
40,5008851,0,112500.0,-4450,1,0,1,0,0,1
41,5008852,0,112500.0,-4450,1,0,1,0,0,1
47,5008855,2,135000.0,-3173,1,0,0,0,1,0
48,5008856,2,135000.0,-3173,1,0,0,0,0,0
49,5008857,2,135000.0,-3173,1,0,0,0,1,0
50,5008858,2,135000.0,-3173,1,0,0,0,1,0
51,5008859,2,135000.0,-3173,1,0,0,0,0,0
52,5008860,2,135000.0,-3173,1,0,0,0,0,0
53,5008861,2,135000.0,-3173,1,0,0,0,0,0
54,5008862,2,135000.0,-3173,1,0,0,0,0,0
56,5008864,2,135000.0,-3173,1,0,0,0,0,0
62,5008868,1,211500.0,-7099,1,0,0,0,0,0
64,5008872,0,360000.0,-5364,1,0,1,0,0,1
66,5008873,2,126000.0,-1773,1,0,0,1,1,0
67,5008874,2,126000.0,-1773,1,0,0,1,1,0
68,5008875,2,126000.0,-1773,1,0,0,1,1,0
69,5008876,2,126000.0,-1773,1,0,0,1,1,0
70,5008877,2,126000.0,-1773,1,0,0,1,1,0
72,5008879,2,126000.0,-1773,1,0,0,1,1,0
73,5008880,2,126000.0,-1773,1,0,0,1,1,0
74,5008881,2,126000.0,-1773,1,0,0,1,1,0
76,5008884,0,315000.0,365243,1,0,0,0,1,0
78,5008889,0,247500.0,-1347,1,0,0,0,0,0
81,5008891,0,297000.0,-3234,1,0,0,0,1,0
83,5008893,0,297000.0,-3234,1,0,0,0,1,0
84,5008894,0,297000.0,-3234,1,0,0,0,1,0
85,5008895,0,297000.0,-3234,1,0,0,0,1,0
102,5008912,0,297000.0,-3234,1,0,0,0,1,0
104,5008914,0,297000.0,-3234,1,0,0,0,1,0
106,5008916,0,297000.0,-3234,1,0,0,0,1,0
108,5008918,0,297000.0,-3234,1,0,0,0,1,0
109,5008919,0,297000.0,-3234,1,0,0,0,1,0
110,5008920,0,297000.0,-3234,1,0,0,0,1,0
111,5008921,0,297000.0,-3234,1,0,0,0,1,0
112,5008922,0,297000.0,-3234,1,0,0,0,1,0
113,5008923,0,297000.0,-3234,1,0,0,0,1,0
114,5008924,0,297000.0,-3234,1,0,0,0,1,0
115,5008925,0,297000.0,-3234,1,0,0,0,1,0
116,5008926,0,297000.0,-3234,1,0,0,0,0,0
117,5008927,0,297000.0,-3234,1,0,0,0,1,0
118,5008928,0,297000.0,-3234,1,0,0,0,0,0
119,5008929,0,297000.0,-3234,1,0,0,0,1,0
120,5008930,0,297000.0,-3234,1,0,0,0,0,0
121,5008931,0,297000.0,-3234,1,0,0,0,1,0
122,5008932,0,297000.0,-3234,1,0,0,0,0,0
123,5008933,0,297000.0,-3234,1,0,0,0,1,0
124,5008934,0,297000.0,-3234,1,0,0,0,1,0
125,5008935,0,297000.0,-3234,1,0,0,0,1,0
126,5008936,0,297000.0,-3234,1,0,0,0,1,0
127,5008937,0,297000.0,-3234,1,0,0,0,1,0
128,5008938,0,297000.0,-3234,1,0,0,0,1,0
129,5008939,0,297000.0,-3234,1,0,0,0,1,0
130,5008940,0,297000.0,-3234,1,0,0,0,1,0
131,5008941,0,297000.0,-3234,1,0,0,0,1,0
136,5008943,0,157500.0,-4846,1,0,1,0,1,0
140,5008947,0,135000.0,-1408,1,1,1,0,1,1
142,5008949,0,135000.0,-1408,1,1,1,0,1,1
143,5008950,0,135000.0,-1408,1,1,1,0,1,1
144,5008951,1,225000.0,-2808,1,0,0,0,1,1
146,5008953,1,225000.0,-2808,1,0,0,0,1,1
147,5008954,1,225000.0,-2808,1,0,0,0,0,1
148,5008955,0,135000.0,-1712,1,0,0,0,0,0
149,5008956,0,135000.0,-1712,1,0,0,0,1,0
151,5008958,0,135000.0,-1712,1,0,0,0,0,0
152,5008959,0,135000.0,-1712,1,0,0,0,1,0
153,5008960,0,135000.0,-1712,1,0,0,0,1,0
154,5008962,0,135000.0,-1712,1,0,0,0,1,0
155,5008963,0,135000.0,-1712,1,0,0,0,1,0
156,5008966,0,157500.0,-889,1,0,1,0,0,1
157,5008967,0,157500.0,-889,1,0,1,0,0,1
159,5008973,0,157500.0,-889,1,0,1,0,0,1
162,5008976,0,112500.0,365243,1,0,0,0,0,0
163,5008977,0,112500.0,365243,1,0,0,0,0,0
165,5008979,0,112500.0,365243,1,0,0,0,1,0
167,5008981,0,112500.0,-2381,1,0,1,0,1,1
169,5008984,0,112500.0,-2381,1,0,1,0,1,1
170,5008986,0,112500.0,-2381,1,0,1,0,1,1
171,5008987,0,112500.0,-2381,1,0,1,0,1,1
172,5008988,0,112500.0,-2381,1,0,1,0,1,1
175,5008992,0,270000.0,-1194,1,1,1,0,1,0
176,5008993,0,270000.0,-1194,1,1,1,0,0,0
177,5008994,0,270000.0,-1194,1,1,1,0,0,0
183,5009000,0,157500.0,-828,1,0,0,0,1,1
193,5009012,0,166500.0,-6276,1,1,1,0,0,1
199,5009016,2,216000.0,-3112,1,0,0,1,1,0
201,5009019,2,216000.0,-3112,1,0,0,1,0,0
204,5009023,2,216000.0,-3112,1,0,0,1,1,0
205,5009024,2,216000.0,-3112,1,0,0,1,1,0
206,5009025,2,216000.0,-3112,1,0,0,1,1,0
209,5009027,0,270000.0,-10843,1,0,0,1,0,0
212,5009029,0,225000.0,-2777,1,0,0,0,1,0
213,5009031,0,315000.0,-1194,1,0,0,0,1,0
214,5009032,0,315000.0,-1194,1,0,0,0,1,0
216,5009033,0,255150.0,365243,1,0,0,0,1,0
218,5009035,0,255150.0,365243,1,0,0,0,1,0
219,5009036,0,255150.0,365243,1,0,0,0,1,0
220,5009037,0,255150.0,365243,1,0,0,0,1,0
221,5009038,0,255150.0,365243,1,0,0,0,1,0
222,5009039,2,157500.0,-555,1,0,0,0,1,0
223,5009040,2,157500.0,-555,1,0,0,0,1,0
224,5009042,0,148500.0,-889,1,0,0,0,1,0
228,5009046,0,148500.0,-889,1,0,0,0,0,0
229,5009047,0,148500.0,-889,1,0,0,0,0,0
233,5009052,2,202500.0,-2289,1,0,0,1,1,0
237,5009057,0,202500.0,-889,1,1,0,0,0,1
238,5009058,0,112500.0,-797,1,0,1,1,1,0
239,5009060,0,94500.0,365243,1,0,1,0,0,0
241,5009063,0,315000.0,-2077,1,0,0,0,1,1
242,5009064,0,315000.0,-2077,1,0,0,0,1,1
243,5009065,0,315000.0,-2077,1,0,0,0,1,1
244,5009066,0,315000.0,-2077,1,0,0,0,0,1
246,5009068,0,315000.0,-2077,1,0,0,0,1,1
247,5009069,0,315000.0,-2077,1,0,0,0,1,1
249,5009071,0,270000.0,-3173,1,0,1,1,1,0
252,5009074,1,450000.0,-708,1,0,1,1,0,0
254,5009078,1,180000.0,-1286,1,0,0,0,1,1
255,5009079,0,112500.0,-3173,1,0,0,1,1,0
